"","X","CoreUniqueID","SiteCode","RainTrt","FieldRep","CoreNum","CoreLabel","TargetWP","TargetGWC","ActualGWC","BD","PD","WHC","Moist","pH","DOC","MBC","SOM","CO2_w1a","CO2_w1b","CO2_w2a","CO2_w2b","CO2_eq","MAP","MAP_CV","MAT","Sand","Silt","Clay","USDA_class","Soil.fresh.wt..g.","rock.fresh.wt..g.","Core.2mm.dry.wt..g.","Core.Vol..cm3.","ANPP","ActualVWC","TargetVWC","theta","m","m_1","n_1","alpha_1","ActualWP"
"501",1390,623,"cedarsav.us","Drought",4,"4","Savann_CC_D_4_4",-0.3,0.0587706365442403,0.0343197698314838,"1.32229252097455",NA,NA,"3.43197698314837","5.77",NA,NA,1.80265654648954,"1.33552328866991","2.32560484408407","1.71205664682116","1.65327358584175",1.89697835891566,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",285.67,"3.45","273.490297986025",209.43951023932,285.9,0.0371634762066542,0.0636403205378773,0.0647500798829592,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,3.26687359567235
"502",1391,622,"cedarsav.us","Drought",4,"5","Savann_CC_D_4_5",-1,0.0460582684227395,0.0471662228984405,"1.39018148475316",NA,NA,"4.71662228984405","6.68","0.0280351531117964","0.0634477895627552",1.60377358490568,"2.02694555274864","1.90699228805286","1.29957992959324","1.49734209292294",1.56797143685635,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",303,"4.48","284.859186002282",208.130513300324,285.9,0.051074375237678,0.0498746166146468,0.0889870973915983,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.976712341374599
"503",1392,619,"cedarsav.us","Drought",4,"6","Savann_CC_D_4_6",-15,0.0301394229161601,0.00417661097852029,"1.30617737848819",NA,NA,"0.417661097852027","7.02","0.0308395067407855","0.0190579769305479",2.44150559511701,"-0.00305160414660132","-0.00032838375758646",NA,"0.012806966545872",0.00623929139414275,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",273.46,"1.28","259.461784009547",199.622033196851,285.9,0.00452268134334335,0.0326367493700228,0.00787988660259442,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,9719.48658391051
"504",1394,663,"cedarsav.us","Ambient",5,"1","Savann_CC_A_5_1",-0.04,0.0942576129728506,0.0897339827650806,"1.20531891783599",NA,NA,"8.97339827650806","5.9","0.0267918417124287","0.090275188145076",3.32681017612521,"3.48430181775539","4.20504452903206","2.19726679609058","2.63268847288417",3.0116665993356,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",274.29,"5.38","248.639162607718",210.748507178315,257.24,0.0971692627833168,0.102067717068402,0.169298412570498,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.0849188662436553
"505",1395,618,"cedarsav.us","Ambient",5,"2","Savann_CC_A_5_2",-0.1,0.075356970814196,0.0683515221137276,"1.13380675146406",NA,NA,"6.83515221137276","6.59","0.0215114445113121","0.135041974199582",3.62903225806451,"3.98310858586412","2.90525929300001","2.95792407488506","2.1296127420005",2.66426536996186,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",281.48,"3.48","236.210155083286",211.403005647813,257.24,0.0740150699796315,0.0816009840861404,0.128956765698518,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.238744720576826
"506",1396,661,"cedarsav.us","Ambient",5,"3","Savann_CC_A_5_3",-0.2,0.0642428445774209,0.0632664979560055,"1.04312284171626",NA,NA,"6.32664979560055","5.85","0.0297330168837709","0.0909006424880124",2.75665399239543,"3.38838545696504","2.77270230494254","2.50168629017372","2.9464305197952",2.74027303830382,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",171.76,"3.16","158.645185906171",155.116137270996,257.24,0.0685087051285943,0.0695659509846295,0.119363003210133,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.320208716825593
"507",1397,613,"cedarsav.us","Ambient",5,"4","Savann_CC_A_5_4",-0.3,0.0587706365442403,0.0588582677165354,"1.2243689603404",NA,NA,"5.88582677165353","7.92","0.0256727875556998","0.0794098361573307",2.72108843537416,"3.35947591587378","2.39762668854888","5.16507794385796","2.33248069478313",3.29839510906332,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",270.31,"13.54","242.089887795276",208.785011769822,257.24,0.063735212753138,0.0636403205378773,0.111046127498271,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.421255605567839
"508",1398,614,"cedarsav.us","Ambient",5,"5","Savann_CC_A_5_5",-1,0.0460582684227395,0.0413159908186685,"1.61014081769772",NA,NA,"4.13159908186686","7.74","0.0156287282380758","0.114599934328239",2.25563909774438,"1.84227972685144","1.90473317430734","1.23423918883991","1.07272060640935",1.40389765651887,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",325.69,"1.38","365.354475899005",227.76546738526,257.24,0.0447393979995568,0.0498746166146468,0.0779496400788287,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,1.61497079784303
"509",1399,615,"cedarsav.us","Ambient",5,"6","Savann_CC_A_5_6",-15,0.0301394229161601,0.00480122911465342,"1.17973848431811",NA,NA,"0.480122911465342","7.75","0.0328831435124546","0.0516491947151651",4.25963488843815,"-0.000699857979687431","0.0213383611580377",NA,"0.00469443945476829",0.013016400306403,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",221.67,"1.79","207.459135778759",177.369085233924,257.24,0.00519905479673211,0.0326367493700228,0.00905833489666961,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,5725.27011949095
"510",1401,617,"cedarsav.us","Drought",5,"1","Savann_CC_D_5_1",-0.04,0.0942576129728506,0.0844180704441041,"1.2084194449408",NA,NA,"8.44180704441041","7.53","0.0370140012503622","0.170223555030623",3.67793240556657,"4.88383993440989","3.76048994720532","6.10393061590905","2.85979200173821",4.24140418828419,779.521482542157,13.6749455978371,7.5,97.5198412698413,0,4.96031746031746,"sand",285.77,"3.15","267.340767611026",223.838476568273,285.9,0.0914128785759834,0.102067717068402,0.159269040312929,0.20844855548477,4.79734674905466,0.79155144451523,0.000100000060410986,0.107086077358735
